"","CNTRYID","CNT","CNTSCHID","Region","SC013Q01TA","SCHSIZE","CLSIZE","RATCMP1","RATCMP2","VER_DAT","SC155Q01HA","SC155Q02HA","SC155Q03HA","SC155Q04HA","SC155Q05HA","SC155Q06HA","SC155Q07HA","SC155Q08HA","SC155Q09HA","SC155Q10HA","SC155Q11HA","SC156Q01HA","SC156Q02HA","SC156Q03HA","SC156Q04HA","SC156Q05HA","SC156Q06HA","SC156Q07HA","SC156Q08HA","RATCMP1_lvl","RATCMP2_lvl","ICT_index","country","region_geo","avg_ICT_index"
"1",8,"ALB",800006,800,1,315,38,0.0256,1,"  09MAY19:11:20:57",0,2,0,0,0,2,1,2,0,0,2,1,1,1,1,1,1,1,1,1,3,19,"Albania","Europe & Central Asia",16.8405797101449
"2",8,"ALB",800009,800,1,823,28,0.4601,0.1157,"  09MAY19:11:20:57",2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,31,"Albania","Europe & Central Asia",16.8405797101449
"3",8,"ALB",800012,800,1,275,18,0.275,1,"  09MAY19:11:20:57",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,2,3,12,"Albania","Europe & Central Asia",16.8405797101449
"4",8,"ALB",800025,800,1,259,28,0.0772,1,"  09MAY19:11:20:57",1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,3,21,"Albania","Europe & Central Asia",16.8405797101449
"5",8,"ALB",800026,800,1,79,13,0.3636,0,"  09MAY19:11:20:57",0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,17,"Albania","Europe & Central Asia",16.8405797101449
"6",8,"ALB",800035,800,1,292,18,0.1463,0.1667,"  09MAY19:11:20:57",0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,2,1,13,"Albania","Europe & Central Asia",16.8405797101449
"7",8,"ALB",800037,800,1,1852,28,0.0495,1,"  09MAY19:11:20:57",0,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,20,"Albania","Europe & Central Asia",16.8405797101449
"8",8,"ALB",800062,800,1,898,28,0.3755,1,"  09MAY19:11:20:57",1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,2,3,19,"Albania","Europe & Central Asia",16.8405797101449
"9",8,"ALB",800066,800,1,201,28,1.0192,1,"  09MAY19:11:20:57",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,25,"Albania","Europe & Central Asia",16.8405797101449
"10",8,"ALB",800084,800,1,1037,33,0.1452,1,"  09MAY19:11:20:57",1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,2,3,17,"Albania","Europe & Central Asia",16.8405797101449
"11",8,"ALB",800090,800,1,163,23,0.1042,0.2,"  09MAY19:11:20:57",0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,20,"Albania","Europe & Central Asia",16.8405797101449
"12",8,"ALB",800091,800,1,98,13,0.5238,0,"  09MAY19:11:20:57",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,2,1,9,"Albania","Europe & Central Asia",16.8405797101449
"13",8,"ALB",800099,800,1,572,28,0.1,0.125,"  09MAY19:11:20:57",0,0,0,0,1,1,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,15,"Albania","Europe & Central Asia",16.8405797101449
"14",8,"ALB",800105,800,1,98,13,0.7368,0.5714,"  09MAY19:11:20:57",1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2,2,12,"Albania","Europe & Central Asia",16.8405797101449
"15",8,"ALB",800107,800,1,329,28,0.4074,1,"  09MAY19:11:20:57",0,0,0,0,0,1,1,2,0,1,2,1,1,1,1,1,1,1,1,2,3,19,"Albania","Europe & Central Asia",16.8405797101449
"16",8,"ALB",800112,800,1,436,28,0.0179,1,"  09MAY19:11:20:57",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,7,"Albania","Europe & Central Asia",16.8405797101449
"17",8,"ALB",800116,800,1,460,28,0.3333,1,"  09MAY19:11:20:57",1,1,1,1,2,1,2,1,0,1,1,1,1,0,1,1,1,1,1,2,3,23,"Albania","Europe & Central Asia",16.8405797101449
"18",8,"ALB",800119,800,1,345,NA,0.1538,1,"  09MAY19:11:20:57",0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,2,3,17,"Albania","Europe & Central Asia",16.8405797101449
"19",8,"ALB",800121,800,1,119,13,0.0526,0,"  09MAY19:11:20:57",0,0,0,0,0,2,1,1,0,1,2,1,0,1,1,1,1,1,1,1,1,14,"Albania","Europe & Central Asia",16.8405797101449
"20",8,"ALB",800125,800,1,150,23,0.3333,0.7778,"  09MAY19:11:20:57",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,8,"Albania","Europe & Central Asia",16.8405797101449
"21",8,"ALB",800128,800,1,807,33,0.0556,1,"  09MAY19:11:20:57",0,2,0,0,0,2,1,1,0,2,2,1,1,0,1,1,1,1,1,1,3,19,"Albania","Europe & Central Asia",16.8405797101449
"22",8,"ALB",800131,800,1,415,23,0.2857,1,"  09MAY19:11:20:57",0,0,0,0,1,1,1,0,0,0,2,1,1,0,1,1,1,1,1,2,3,16,"Albania","Europe & Central Asia",16.8405797101449
"23",8,"ALB",800132,800,1,253,23,0.1951,1,"  09MAY19:11:20:57",0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,2,3,13,"Albania","Europe & Central Asia",16.8405797101449
"24",8,"ALB",800133,800,1,210,18,0.3429,1,"  09MAY19:11:20:57",1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,26,"Albania","Europe & Central Asia",16.8405797101449
"25",8,"ALB",800135,800,1,510,28,0.1186,1,"  09MAY19:11:20:57",0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,3,11,"Albania","Europe & Central Asia",16.8405797101449
"26",8,"ALB",800145,800,1,666,33,0.1403,0.2903,"  09MAY19:11:20:57",1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,16,"Albania","Europe & Central Asia",16.8405797101449
"27",8,"ALB",800148,800,1,1101,28,0.0776,1,"  09MAY19:11:20:57",1,2,1,2,2,2,1,2,0,1,2,1,1,1,1,1,1,1,1,1,3,26,"Albania","Europe & Central Asia",16.8405797101449
"28",8,"ALB",800158,800,1,414,28,0.0172,1,"  09MAY19:11:20:57",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3,7,"Albania","Europe & Central Asia",16.8405797101449
"29",8,"ALB",800163,800,1,239,18,0.3056,1,"  09MAY19:11:20:57",2,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,3,30,"Albania","Europe & Central Asia",16.8405797101449
"30",8,"ALB",800165,800,1,553,33,0.0196,0.6667,"  09MAY19:11:20:57",1,1,0,0,0,1,1,2,0,0,1,1,1,0,1,1,1,1,1,1,2,16,"Albania","Europe & Central Asia",16.8405797101449
"31",8,"ALB",800170,800,1,361,28,0.0877,0.7,"  09MAY19:11:20:57",1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,2,13,"Albania","Europe & Central Asia",16.8405797101449
"32",8,"ALB",800171,800,1,470,23,0.2536,1,"  09MAY19:11:20:57",2,1,1,1,2,1,1,1,1,2,1,0,0,0,1,1,1,1,1,2,3,23,"Albania","Europe & Central Asia",16.8405797101449
"33",8,"ALB",800175,800,1,122,23,0.0244,1,"  09MAY19:11:20:57",0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,3,12,"Albania","Europe & Central Asia",16.8405797101449
"34",8,"ALB",800176,800,1,967,38,0.1538,1,"  09MAY19:11:20:57",1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,2,3,19,"Albania","Europe & Central Asia",16.8405797101449
"35",8,"ALB",800183,800,1,855,28,0.0408,1,"  09MAY19:11:20:57",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,3,10,"Albania","Europe & Central Asia",16.8405797101449
"36",8,"ALB",800189,800,1,198,18,0.2286,0.25,"  09MAY19:11:20:57",0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,2,1,12,"Albania","Europe & Central Asia",16.8405797101449
"37",8,"ALB",800190,800,1,165,23,0.0909,0.5,"  09MAY19:11:20:57",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,7,"Albania","Europe & Central Asia",16.8405797101449
"38",8,"ALB",800193,800,1,412,28,0.1167,1,"  09MAY19:11:20:57",0,2,0,1,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,23,"Albania","Europe & Central Asia",16.8405797101449
"39",8,"ALB",800199,800,1,284,18,0.2439,1,"  09MAY19:11:20:57",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,21,"Albania","Europe & Central Asia",16.8405797101449
"40",8,"ALB",800201,800,1,819,33,0.3096,1,"  09MAY19:11:20:57",0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,15,"Albania","Europe & Central Asia",16.8405797101449
"41",8,"ALB",800205,800,1,165,13,0.0625,1,"  09MAY19:11:20:57",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,"Albania","Europe & Central Asia",16.8405797101449
"42",8,"ALB",800209,800,1,690,28,0.2381,0.5,"  09MAY19:11:20:57",0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,15,"Albania","Europe & Central Asia",16.8405797101449
"43",8,"ALB",800211,800,1,1130,33,0.0299,1,"  09MAY19:11:20:57",0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,3,13,"Albania","Europe & Central Asia",16.8405797101449
"44",8,"ALB",800219,800,1,325,18,0.2069,1,"  09MAY19:11:20:57",2,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,1,2,3,23,"Albania","Europe & Central Asia",16.8405797101449
"45",8,"ALB",800226,800,1,110,18,0.1667,1,"  09MAY19:11:20:57",0,1,0,1,1,2,2,1,0,1,2,1,1,0,1,1,1,1,1,2,3,21,"Albania","Europe & Central Asia",16.8405797101449
"46",8,"ALB",800231,800,1,976,33,0.4268,1,"  09MAY19:11:20:57",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,21,"Albania","Europe & Central Asia",16.8405797101449
"47",8,"ALB",800238,800,1,281,18,0.2308,0.7778,"  09MAY19:11:20:57",0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,2,3,12,"Albania","Europe & Central Asia",16.8405797101449
"48",8,"ALB",800239,800,1,182,23,0.3333,0.125,"  09MAY19:11:20:57",0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,16,"Albania","Europe & Central Asia",16.8405797101449
"49",8,"ALB",800240,800,1,45,13,0.25,1,"  09MAY19:11:20:57",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,3,10,"Albania","Europe & Central Asia",16.8405797101449
"50",8,"ALB",800241,800,1,468,18,0.55,1,"  09MAY19:11:20:57",1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,0,0,1,1,2,3,20,"Albania","Europe & Central Asia",16.8405797101449
"51",8,"ALB",800242,800,1,505,23,0.0847,0.8,"  09MAY19:11:20:57",0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3,11,"Albania","Europe & Central Asia",16.8405797101449
"52",8,"ALB",800244,800,1,925,28,0.3582,1,"  09MAY19:11:20:57",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,23,"Albania","Europe & Central Asia",16.8405797101449
"53",8,"ALB",800245,800,1,238,33,0.2424,1,"  09MAY19:11:20:57",0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,18,"Albania","Europe & Central Asia",16.8405797101449
"54",8,"ALB",800252,800,1,630,28,0.6339,1,"  09MAY19:11:20:57",0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,2,3,15,"Albania","Europe & Central Asia",16.8405797101449
"55",8,"ALB",800253,800,1,348,33,0.5152,0.7647,"  09MAY19:11:20:57",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,22,"Albania","Europe & Central Asia",16.8405797101449
"56",8,"ALB",800267,800,1,435,23,0.1837,0.2222,"  09MAY19:11:20:57",0,0,0,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,16,"Albania","Europe & Central Asia",16.8405797101449
"57",8,"ALB",800276,800,1,460,23,0.3571,1,"  09MAY19:11:20:57",1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,2,3,14,"Albania","Europe & Central Asia",16.8405797101449
"58",8,"ALB",800278,800,1,719,18,0.087,0.375,"  09MAY19:11:20:57",0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,9,"Albania","Europe & Central Asia",16.8405797101449
"59",8,"ALB",800282,800,1,663,33,0.4592,0.9,"  09MAY19:11:20:57",0,0,0,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,21,"Albania","Europe & Central Asia",16.8405797101449
"60",8,"ALB",800287,800,1,737,28,0.2195,1,"  09MAY19:11:20:57",0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,17,"Albania","Europe & Central Asia",16.8405797101449
"61",8,"ALB",800294,800,1,602,23,0.5376,0.0645,"  09MAY19:11:20:57",0,0,0,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,17,"Albania","Europe & Central Asia",16.8405797101449
"62",8,"ALB",800300,800,1,311,18,0.26,0.1538,"  09MAY19:11:20:57",0,1,0,0,0,2,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,15,"Albania","Europe & Central Asia",16.8405797101449
"63",8,"ALB",800305,800,1,492,33,0.2286,1,"  09MAY19:11:20:57",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,23,"Albania","Europe & Central Asia",16.8405797101449
"64",8,"ALB",800311,800,1,103,13,0.3846,0,"  09MAY19:11:20:57",0,2,0,0,1,2,2,1,0,1,2,1,1,1,1,1,1,1,1,2,1,20,"Albania","Europe & Central Asia",16.8405797101449
"65",8,"ALB",800314,800,1,1245,33,0.1,0.75,"  09MAY19:11:20:57",1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,21,"Albania","Europe & Central Asia",16.8405797101449
"66",8,"ALB",800316,800,1,82,13,0.1538,1,"  09MAY19:11:20:57",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,23,"Albania","Europe & Central Asia",16.8405797101449
"67",8,"ALB",800320,800,1,311,23,0.1639,1,"  09MAY19:11:20:57",0,2,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,2,3,13,"Albania","Europe & Central Asia",16.8405797101449
"68",8,"ALB",800321,800,1,415,23,0.119,1,"  09MAY19:11:20:57",0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,3,15,"Albania","Europe & Central Asia",16.8405797101449
"69",8,"ALB",800335,800,1,1080,33,0.124,1,"  09MAY19:11:20:57",1,2,0,2,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,2,3,20,"Albania","Europe & Central Asia",16.8405797101449
"70",31,"QAZ",3100004,3100,1,1289,23,0.6129,1,"  30APR19:12:44:32",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,2,3,18,"Azerbaijan","Europe & Central Asia",15.1176470588235
"71",31,"QAZ",3100007,3100,1,1819,23,0.6607,1,"  30APR19:12:44:32",0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,3,11,"Azerbaijan","Europe & Central Asia",15.1176470588235
"72",31,"QAZ",3100008,3100,1,2280,23,0.1,1,"  30APR19:12:44:32",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,7,"Azerbaijan","Europe & Central Asia",15.1176470588235
"73",31,"QAZ",3100009,3100,1,886,18,0.5246,1,"  30APR19:12:44:32",2,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,2,3,18,"Azerbaijan","Europe & Central Asia",15.1176470588235
"74",31,"QAZ",3100010,3100,1,1896,23,0.2756,0,"  30APR19:12:44:32",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,"Azerbaijan","Europe & Central Asia",15.1176470588235
"75",31,"QAZ",3100011,3100,1,133,23,0.2932,0.9487,"  30APR19:12:44:32",1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,2,3,14,"Azerbaijan","Europe & Central Asia",15.1176470588235
