"","country","gdp_per_capita","literacy_rate","physicians_per_1_000_people","hospital_beds_per_1_000_people","nurses_and_midwives_per_1_000_people","physicians_lvl","hospital_lvl","nurses_lvl","h_sys_inf_index","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","prop_instruction","prop_closed","prop_break","prop_open","open_rank","instruction_rank","closed_rank","break_rank","schooling_time_index","country_code","confirmed_cases","confirmed_deaths","avg_cases","avg_deaths","avg_stringency","avg_gresponse","avg_containtment","avg_econsupport","avg_nCFR","avg_adjCFR","avg_hp_index","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","pisa_index","ceoworld_index"
"1","Albania",5246.29230634793,98.1411514282227,1.6471,2.89,5.088,1,2,2,5,77,41,92,25,158,0.481707317073171,0.125,0.234756097560976,0.280487804878049,134,32,148,32,346,"ALB",55380,1134,10804.4753623188,256.159420289855,58.555884057971,54.9706086956522,56.0434492753623,47.463768115942,0.0256136091010732,42.4977241202555,9.29855072463768,NA,NA,NA,NA,24,24,17,31,20,68,48
"2","Argentina",8579.01777315683,99.0038681030273,3.9901,4.99,2.5996,2,2,1,5,33,111,3,88,202,0.615853658536585,0.338414634146341,0.100609756097561,0.00914634146341463,29,165,38,165,397,"ARG",1574554,42422,429960.64057971,11022.684057971,75.6773043478261,NA,NA,NA,0.0249675785996584,46.2479578392754,9.19476744186047,17,47,29,34,30,30,15,7,13,35,60
"3","Australia",51692.8427477695,99,3.7595,3.84,13.2416,2,2,3,7,37,0,73,125,198,0.603658536585366,0,0.11280487804878,0.222560975609756,104,154,189,154,601,"AUS",28297,908,14757.1710144928,385.344927536232,59.254347826087,56.3395072463768,55.5469275362319,61.8840579710145,0.0187504213372256,80.4271015176963,9.16521739130435,51,13,7,8,88,88,61,50,62,173,176
"4","Austria",48586.8013213238,99,5.2114,7.27,7.0891,3,3,2,8,58,71,85,21,177,0.539634146341463,0.216463414634146,0.176829268292683,0.259146341463415,124,84,88,84,380,"AUT",349055,5783,64198.3014492754,1033.17391304348,49.9300579710145,53.9936231884058,50.8684347826087,75.8695652173913,0.0210242931681538,78.3103258743979,9.3536231884058,58,6,13,16,51,50,50,56,51,157,101
"5","Azerbaijan",4221.40747847848,99.7959823608398,3.446,4.82,6.4338,2,2,2,6,88,111,0,36,147,0.448170731707317,0.338414634146341,0.268292682926829,0,1,12,38,12,63,"AZE",211764,2416,37533.4260869565,469.327536231884,69.4645797101449,58.4968695652174,61.7240869565217,35.9057971014493,0.0118268651270387,89.5113057823923,8.73043478260869,NA,NA,61,65,23,23,10,23,11,44,46
"6","Bosnia and Herzegovina",6079.73828544838,96.9917678833008,2.1616,3.49,5.7333,1,2,2,5,81,54,0,100,154,0.469512195121951,0.164634146341463,0.246951219512195,0,1,27,123,27,178,"BIH",108891,3901,23332.284057971,727.057971014493,49.6719130434783,40.7280289855072,44.588115942029,13.695652173913,0.0295210461224215,35.3907881766709,7.87826086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Brazil",6796.84454227877,93.2275009155273,2.3106,2.09,7.4008,1,1,2,4,34,191,1,9,201,0.61280487804878,0.582317073170732,0.103658536585366,0.00304878048780488,20,162,5,162,349,"BRA",7448560,190488,2582248.01449275,78469.1536231884,60.8612173913043,54.0234202898551,55.9862028985507,40.2898550724638,0.032559022216001,35.1263701003172,9.14492753623188,5,59,30,36,45,45,21,9,13,43,90
"8","Brunei",27442.95382794,97.214111328125,1.609,2.85,5.8974,1,2,2,5,35,44,117,39,200,0.609756097560976,0.134146341463415,0.106707317073171,0.356707317073171,163,159,139,159,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bulgaria",10079.2033812203,98.3524475097656,4.2071,7.45,4.7853,2,3,2,7,70,80,41,44,165,0.503048780487805,0.24390243902439,0.213414634146341,0.125,76,46,70,46,238,"BGR",196915,7073,32161.9043478261,1008.08405797101,42.8080289855072,40.1490724637681,38.1673623188406,54.0217391304348,0.032780111088373,34.3373371862837,6.06666666666667,9,55,43,49,42,42,24,30,23,77,84
"10","Canada",43258.176319834,99,2.4425,2.52,11.812,2,2,3,7,70,66,2,97,165,0.503048780487805,0.201219512195122,0.213414634146341,0.00609756097560976,24,46,104,46,220,"CAN",545983,14966,140606.750724638,7006.19710144928,58.3529565217391,53.7579130434783,53.912,52.6811594202899,0.049362846300219,31.1360082600546,9.14492753623188,56,8,3,4,83,83,71,67,71,209,166
